;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 31/08/2020 15:41:34
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00CEF25  	GOTO        6218
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF00BEFF2  	GOTO        6116
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xF00CEF00  	GOTO        6144
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x001C	0x0E24      	MOVLW       36
0x001E	0x6E0C      	MOVWF       R12, 0
0x0020	0x0EB5      	MOVLW       181
0x0022	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x0024	0x2E0D      	DECFSZ      R13, 1, 0
0x0026	0xD7FE      	BRA         L_Delay_5500us5
0x0028	0x2E0C      	DECFSZ      R12, 1, 0
0x002A	0xD7FC      	BRA         L_Delay_5500us5
0x002C	0x0000      	NOP
0x002E	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0030	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0032	0x0E53      	MOVLW       83
0x0034	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0036	0x2E0D      	DECFSZ      R13, 1, 0
0x0038	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x003A	0x0012      	RETURN      0
; end of _Delay_50us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x003C	0x0000      	NOP
0x003E	0x0000      	NOP
0x0040	0x0000      	NOP
0x0042	0x0000      	NOP
0x0044	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0046	0x0012      	RETURN      0
; end of _Delay_1us
_Div_32x32_U:
;__Lib_Math.c,1162 :: 		
;__Lib_Math.c,1173 :: 		
0x0048	0x6A0B      	CLRF        R11, 0
;__Lib_Math.c,1174 :: 		
0x004A	0x6A0A      	CLRF        R10, 0
;__Lib_Math.c,1175 :: 		
0x004C	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,1176 :: 		
0x004E	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,1178 :: 		
0x0050	0x6A0E      	CLRF        R14, 0
